Course Name,Course Code,Prerequisite
Foundations of Biology,FOB,None
Cell Biology and Biochemistry,CBB,None
Introduction to Quantitative,IQB,MTH100
Genetics and Molecular Biology,GMB,None
Practical Bioinformatics,PB,None
Algorithms in,ABIN,Oneprogrammingcourse
Biophysics,BioP,None
Stochastic Simulations in,SSSBB,BIO531
Cell Biology and Biochemistry,CBB,None
Foundations of Modern,FOMB,None
Algorithms in,ACB,None
Chemoinformatics,BIO523,None
Biomedical Image,BIO524,None
Introduction to,BIO531,MTH100
Network Biology,BIO532,None
Systems and Synthetic,BIO533,"BIO531 , BIO501"
Introduction to,BIO534,None
Data Sciences for,BIO541,None
Machine Learning for,BIO542,None
Big Data Mining in,BIO543,None
Computational Gastronomy,BIO544,None
Biostatistics,BIO545,None
Computing for Medicine,BIO546/CSE585,None
Computer Aided Drug,BIO561,None
Communication Skills,COM101,None
Technical Communication,COM301A,None
Introduction to,CSE101,None
Data Structures &,CSE102,CSE101
Computer Organization,CSE112,ECE111
Discrete Mathematics,CSE121,None
Introduction to Intelligent,CSE140,IntroductiontoProgramming[CSE101] ([CSE101])
Advanced Programming,CSE201,"CSE101 , CSE102"
Fundamentals of Database,CSE202,CSE102
Algorithm Design and,CSE222,CSE102
Algorithm Design and,CSE223,CSE102
Operating Systems,CSE231,CSE102
Computer Networks,CSE232,"CSE101 , CSE231 , CSE222"
Network Administration,CSE233,None
Modern Algorithm Design,CSE319/CSE519,CSE222
Advanced Algorithms,CSE320/CSE520,CSE102
Theory of Computation,CSE322,CSE121  or MTH210
Computer Graphics,CSE333/CSE533,CSE101
Digital Image Processing,CSE340/CSE540/ECE340,"MTH100 , MTH201"
Statistical Machine,CSE342/CSE542/ECE356/ECE556,"CSE101 , MTH201"
Computer Vision,CSE344/CSE544/ECE344/ECE544,MTH100
Foundations of Computer,CSE345/CSE545,None
Network Security,CSE350/CSE550,None
Networks and System,CSE354/CSE554,"CSE231 , CSE232"
Complexity Theory,CSE421/CSE621,"CSE102 , MTH201 , CSE322"
Advanced Biometrics,CSE441/CSE541,CSE343/CSE543/ECE563
Designing Human Centered,CSE501,None
Foundations of Parallel,CSE502,"CSE101 , CSE102 , CSE201"
Program Analysis,CSE503,"CSE102 , CSE201"
Decision Procedures,CSE504,C/C++  or Javaprogramming(equivalentsofDSAandAP) (/viewDescription/ﬁlename?
Data Mining,CSE506,"CSE202 , CSE101 , MTH100"
Database System,CSE507,"CSE202 , CSE102"
Information Retrieval,CSE508,"CSE102 , CSE201 , CSE202"
Computer Architecture,CSE511/ECE511,None
Bayesian Machine Learning,CSE515/ECE551,MTH201
Theories of Deep Learning,CSE516/ECE559,"MTH100 , MTH203 ,"
Randomized Algorithms,CSE523,"CSE222 , CSE121 , MTH201"
Theory of Modern,CSE524,None
